Image Index,Detector Type,Descriptor Type,TTC Camera,TTC Lidar,TTC diff,Mean diff
1,SHITOMASI,BRISK,13.9019,12.5156,1.3863,
2,,,12.9876,12.6142,0.3734,
3,,,13.2474,14.091,0.843599999999999,
4,,,12.8899,16.6894,3.7995,
5,,,13.4476,15.7465,2.2989,
6,,,13.5266,12.7835,0.7431,
7,,,12.7172,11.9844,0.732799999999999,
8,,,13.712,13.1241,0.587899999999999,
9,,,11.5126,13.0241,1.5115,
10,,,13.456,11.1746,2.2814,
11,,,11.9816,12.8086,0.827,
12,,,11.8135,8.95978,2.85372,
13,,,12.0367,9.96439,2.07231,
14,,,11.342,9.59863,1.74337,
15,,,9.07784,8.52157,0.55627,
16,,,10.4612,9.51552,0.945679999999999,
17,,,11.6823,9.61241,2.06989,
18,,,9.73863,8.3988,1.33983,1.498
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SHITOMASI,BRIEF,14.0747,12.5156,1.5591,
2,,,13.8102,12.6142,1.196,
3,,,11.7319,14.091,2.3591,
4,,,13.6007,16.6894,3.0887,
5,,,12.3,15.7465,3.4465,
6,,,13.2703,12.7835,0.486800000000001,
7,,,21.3557,11.9844,9.3713,
8,,,12.5199,13.1241,0.604200000000001,
9,,,11.6077,13.0241,1.4164,
10,,,13.6717,11.1746,2.4971,
11,,,11.7805,12.8086,1.0281,
12,,,11.7604,8.95978,2.80062,
13,,,11.7545,9.96439,1.79011,
14,,,11.6524,9.59863,2.05377,
15,,,11.2953,8.52157,2.77373,
16,,,11.5174,9.51552,2.00188,
17,,,11.1869,9.61241,1.57449,
18,,,7.96939,8.3988,0.42941,2.249
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SHITOMASI,ORB,13.5031,12.5156,0.987500000000001,
2,,,12.6968,12.6142,0.082599999999999,
3,,,11.99,14.091,2.101,
4,,,12.5517,16.6894,4.1377,
5,,,12.1886,15.7465,3.5579,
6,,,13.7364,12.7835,0.9529,
7,,,11.9941,11.9844,0.009699999999999,
8,,,12.5093,13.1241,0.614800000000001,
9,,,11.3469,13.0241,1.6772,
10,,,13.3149,11.1746,2.1403,
11,,,11.3246,12.8086,1.484,
12,,,11.5372,8.95978,2.57742,
13,,,12.3111,9.96439,2.34671,
14,,,11.3471,9.59863,1.74847,
15,,,10.4584,8.52157,1.93683,
16,,,10.8903,9.51552,1.37478,
17,,,10.7263,9.61241,1.11389,
18,,,8.08727,8.3988,0.311529999999999,1.62
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SHITOMASI,FREAK,13.6475,12.5156,1.1319,
2,,,13.5738,12.6142,0.9596,
3,,,11.0783,14.091,3.0127,
4,,,12.9215,16.6894,3.7679,
5,,,12.8536,15.7465,2.8929,
6,,,15.1537,12.7835,2.3702,
7,,,13.2138,11.9844,1.2294,
8,,,13.2008,13.1241,0.076699999999999,
9,,,11.9031,13.0241,1.121,
10,,,13.5328,11.1746,2.3582,
11,,,11.328,12.8086,1.4806,
12,,,12.0664,8.95978,3.10662,
13,,,12.5626,9.96439,2.59821,
14,,,11.7034,9.59863,2.10477,
15,,,10.2263,8.52157,1.70473,
16,,,11.4542,9.51552,1.93868,
17,,,10.8743,9.61241,1.26189,
18,,,8.24847,8.3988,0.15033,1.848
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SHITOMASI,SIFT,14.2804,12.5156,1.7648,
2,,,12.9004,12.6142,0.286199999999999,
3,,,11.6087,14.091,2.4823,
4,,,12.9209,16.6894,3.7685,
5,,,12.1886,15.7465,3.5579,
6,,,13.0553,12.7835,0.271800000000001,
7,,,12.6612,11.9844,0.6768,
8,,,12.1376,13.1241,0.9865,
9,,,11.9899,13.0241,1.0342,
10,,,13.5009,11.1746,2.3263,
11,,,12.1076,12.8086,0.701000000000001,
12,,,11.8967,8.95978,2.93692,
13,,,11.6227,9.96439,1.65831,
14,,,10.9335,9.59863,1.33487,
15,,,12.5287,8.52157,4.00713,
16,,,10.68,9.51552,1.16448,
17,,,10.7884,9.61241,1.17599,
18,,,9.52513,8.3988,1.12633,1.737
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,HARRIS,BRISK,10.9082,12.5156,1.6074,
2,,,10.195,12.6142,2.4192,
3,,,-80.8525,14.091,94.9435,
4,,,11.5792,16.6894,5.1102,
5,,,-inf,15.7465,,
6,,,12.9945,12.7835,0.211,
7,,,12.2395,11.9844,0.255099999999999,
8,,,28.9604,13.1241,15.8363,
9,,,nan,13.0241,,
10,,,-inf,11.1746,,
11,,,11.7414,12.8086,1.0672,
12,,,11.6948,8.95978,2.73502,
13,,,568.322,9.96439,558.35761,
14,,,7.72144,9.59863,1.87719,
15,,,-12.639,8.52157,21.16057,
16,,,6.33929,9.51552,3.17623,
17,,,12.5848,9.61241,2.97239,
18,,,-inf,8.3988,,
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,HARRIS,BRIEF,10.9082,12.5156,1.6074,
2,,,11.0081,12.6142,1.6061,
3,,,-11.4731,14.091,25.5641,
4,,,11.5792,16.6894,5.1102,
5,,,35.3833,15.7465,19.6368,
6,,,15.2483,12.7835,2.4648,
7,,,14.2744,11.9844,2.29,
8,,,17.6204,13.1241,4.4963,
9,,,3.30058,13.0241,9.72352,
10,,,-13.4405,11.1746,24.6151,
11,,,11.7414,12.8086,1.0672,
12,,,11.6948,8.95978,2.73502,
13,,,284.161,9.96439,274.19661,
14,,,5.6061,9.59863,3.99253,
